date	close
01-Jan-19	86.5
02-Jan-19	86.8
03-Jan-19	88
04-Jan-19	86.75
07-Jan-19	86
08-Jan-19	89.42
09-Jan-19	91
10-Jan-19	90.16
11-Jan-19	89.8
14-Jan-19	88.99
15-Jan-19	89.52
16-Jan-19	90
17-Jan-19	88.68
18-Jan-19	88.05
21-Jan-19	89.02
22-Jan-19	89.38
23-Jan-19	91.48
24-Jan-19	92.95
25-Jan-19	92.5
28-Jan-19	92.9
29-Jan-19	92.52
30-Jan-19	93.06
31-Jan-19	93
01-Feb-19	93.01
04-Feb-19	93
06-Feb-19	94.4
07-Feb-19	94.6
08-Feb-19	94.03
11-Feb-19	93
12-Feb-19	93.02
13-Feb-19	93.98
14-Feb-19	93.11
15-Feb-19	93
18-Feb-19	92.5
19-Feb-19	91.26
20-Feb-19	91
21-Feb-19	91.53
22-Feb-19	87.55
25-Feb-19	88.02
26-Feb-19	86.51
27-Feb-19	86.9
28-Feb-19	87.25
01-Mar-19	86.8
04-Mar-19	87.78
05-Mar-19	88.38
06-Mar-19	87
07-Mar-19	86.3
08-Mar-19	85.1
11-Mar-19	84
12-Mar-19	83.1
13-Mar-19	82.8
14-Mar-19	83.51
15-Mar-19	82.72
18-Mar-19	84
19-Mar-19	84
20-Mar-19	81.9
21-Mar-19	79
22-Mar-19	78.98
25-Mar-19	76.06
26-Mar-19	76
27-Mar-19	75.6
28-Mar-19	76
29-Mar-19	78
01-Apr-19	73.1
02-Apr-19	79
03-Apr-19	75.9
04-Apr-19	75.4
05-Apr-19	72.84
08-Apr-19	73
09-Apr-19	73.99
10-Apr-19	76.53
11-Apr-19	76
12-Apr-19	77.3
15-Apr-19	77.1
16-Apr-19	77.98
17-Apr-19	78
18-Apr-19	75.75
19-Apr-19	74.1
22-Apr-19	76
23-Apr-19	74.1
24-Apr-19	74.1
25-Apr-19	76.99
26-Apr-19	75
29-Apr-19	75.16
30-Apr-19	75.6
02-May-19	73
03-May-19	72
06-May-19	71.2
07-May-19	70
08-May-19	69.3
09-May-19	68.03
10-May-19	70
13-May-19	70.5
14-May-19	71
15-May-19	73
16-May-19	74.5
17-May-19	75.99
20-May-19	75.01
21-May-19	74
22-May-19	75.45
23-May-19	79
24-May-19	79.49
27-May-19	78.03
28-May-19	78.55
29-May-19	78.6
30-May-19	83
03-Jun-19	79.8
10-Jun-19	76.11
11-Jun-19	76.5
12-Jun-19	77.24
13-Jun-19	77
14-Jun-19	77.55
17-Jun-19	77.75
18-Jun-19	77
19-Jun-19	78
20-Jun-19	76.98
21-Jun-19	77.8
24-Jun-19	81.65
25-Jun-19	80.55
26-Jun-19	79.95
27-Jun-19	80.15
28-Jun-19	79.01
01-Jul-19	80
02-Jul-19	78.52
03-Jul-19	79.02
04-Jul-19	80.03
05-Jul-19	81.01
08-Jul-19	80.58
09-Jul-19	79.9
10-Jul-19	78.52
11-Jul-19	78.1
12-Jul-19	77.75
15-Jul-19	76.5
16-Jul-19	74
17-Jul-19	76.44
18-Jul-19	76.01
19-Jul-19	75.01
22-Jul-19	75.8
23-Jul-19	74.9
24-Jul-19	73
25-Jul-19	73.85
26-Jul-19	72.5
29-Jul-19	71.98
30-Jul-19	69.02
31-Jul-19	70
01-Aug-19	70
02-Aug-19	69.65
05-Aug-19	70.48
06-Aug-19	68
07-Aug-19	67.13
08-Aug-19	63.94
09-Aug-19	63.99
16-Aug-19	62.26
19-Aug-19	59.02
20-Aug-19	62.65
21-Aug-19	68.9
22-Aug-19	71.88
23-Aug-19	70.5
26-Aug-19	69
27-Aug-19	66.25
28-Aug-19	69.99
29-Aug-19	69.4
30-Aug-19	68.4
02-Sep-19	67.5
03-Sep-19	66.02
04-Sep-19	64.81
05-Sep-19	65.95
06-Sep-19	67.5
11-Sep-19	70.01
12-Sep-19	73.4
13-Sep-19	74.16
16-Sep-19	75
17-Sep-19	71.99
18-Sep-19	70.9
19-Sep-19	69.5
20-Sep-19	73.63
23-Sep-19	73
24-Sep-19	70.35
25-Sep-19	72.33
26-Sep-19	70.52
27-Sep-19	69.47
30-Sep-19	71
01-Oct-19	71
02-Oct-19	71.4
03-Oct-19	71.58
04-Oct-19	72.05
07-Oct-19	73.25
08-Oct-19	73.5
09-Oct-19	72.11
10-Oct-19	73.23
11-Oct-19	75.01
14-Oct-19	76.9
15-Oct-19	77.45
16-Oct-19	75.39
17-Oct-19	74.56
18-Oct-19	73.7
21-Oct-19	74.48
22-Oct-19	72.4
23-Oct-19	73.1
24-Oct-19	73.25
25-Oct-19	73.1
28-Oct-19	72.35
29-Oct-19	72.97
30-Oct-19	72.9
31-Oct-19	72.39
01-Nov-19	72.12
04-Nov-19	74.75
05-Nov-19	77.6
06-Nov-19	76
07-Nov-19	76.01
08-Nov-19	76.98
11-Nov-19	75.97
12-Nov-19	81.9
13-Nov-19	81
14-Nov-19	82.98
15-Nov-19	82.5
18-Nov-19	86
19-Nov-19	87.55
20-Nov-19	92
21-Nov-19	90.5
22-Nov-19	87.06
25-Nov-19	88.7
26-Nov-19	88
27-Nov-19	85.25
28-Nov-19	86.1
29-Nov-19	89.8
02-Dec-19	91.5
03-Dec-19	92.79
04-Dec-19	92.38
05-Dec-19	93.99
06-Dec-19	93.74
09-Dec-19	93.5
10-Dec-19	92.05
11-Dec-19	92.5
12-Dec-19	90
13-Dec-19	90.6
16-Dec-19	91.4
17-Dec-19	91.31
18-Dec-19	87.61
19-Dec-19	91.8
20-Dec-19	89.65
23-Dec-19	89
24-Dec-19	87.5
26-Dec-19	88.5
27-Dec-19	89.99
30-Dec-19	92.5
31-Dec-19	93.5
01-Jan-20	93.45
02-Jan-20	92.5
03-Jan-20	98.9
06-Jan-20	96.1
07-Jan-20	96.02
08-Jan-20	95.01
09-Jan-20	97
10-Jan-20	99.01
13-Jan-20	104
14-Jan-20	102
15-Jan-20	102.03
16-Jan-20	100.6
17-Jan-20	101.5
20-Jan-20	101
21-Jan-20	102.31
22-Jan-20	101.9
23-Jan-20	102.25
24-Jan-20	101.9
27-Jan-20	101.35
28-Jan-20	100
29-Jan-20	100.2
30-Jan-20	99
31-Jan-20	98.1
03-Feb-20	96.05
04-Feb-20	97
06-Feb-20	99.25
07-Feb-20	94.56
10-Feb-20	95.2
11-Feb-20	94.49
12-Feb-20	98
13-Feb-20	100.25
14-Feb-20	98.25
17-Feb-20	97.62
18-Feb-20	97
19-Feb-20	96.26
20-Feb-20	97
21-Feb-20	96.98
24-Feb-20	97.25
25-Feb-20	95
26-Feb-20	93
27-Feb-20	88.5
28-Feb-20	90.99
02-Mar-20	90.2
03-Mar-20	93.99
04-Mar-20	91
05-Mar-20	90
06-Mar-20	91.5
09-Mar-20	81.76
10-Mar-20	85
11-Mar-20	85.98
12-Mar-20	84.12
13-Mar-20	80
16-Mar-20	81.5
17-Mar-20	74.9
18-Mar-20	73.4
19-Mar-20	64.11
20-Mar-20	67
24-Mar-20	62.03
25-Mar-20	63
26-Mar-20	56.8
27-Mar-20	58.25
30-Mar-20	63
31-Mar-20	64.5
01-Apr-20	68
02-Apr-20	67.75
03-Apr-20	72
06-Apr-20	77.5
07-Apr-20	73.5
08-Apr-20	76.8
09-Apr-20	77.99
10-Apr-20	77
13-Apr-20	76.9
14-Apr-20	70.06
15-Apr-20	72.01
16-Apr-20	70.36
17-Apr-20	77.15
20-Apr-20	80
21-Apr-20	77.26
22-Apr-20	70.15
23-Apr-20	73.94
24-Apr-20	74
27-Apr-20	74
28-Apr-20	73.01
29-Apr-20	75.99
30-Apr-20	80
04-May-20	83.5
05-May-20	81
06-May-20	80.45
07-May-20	78.65
08-May-20	77.6
11-May-20	77.19
12-May-20	77.8
13-May-20	78
14-May-20	77
15-May-20	75.16
18-May-20	79.45
19-May-20	78.4
20-May-20	78
21-May-20	78.51
28-May-20	77.05
29-May-20	76.69
01-Jun-20	78.7
02-Jun-20	77.25
03-Jun-20	76.53
04-Jun-20	78.01
05-Jun-20	76.49
08-Jun-20	76.9
09-Jun-20	75.9
10-Jun-20	75.15
11-Jun-20	74.75
12-Jun-20	74.5
15-Jun-20	73.01
16-Jun-20	72
17-Jun-20	72.6
18-Jun-20	73.1
19-Jun-20	71.5
22-Jun-20	70.52
23-Jun-20	71.98
24-Jun-20	73.02
